Jogador;Vetor_Estacionario
Amir Rrahmani;0.132
Zambo Anguissa;0.123
Giovanni Di Lorenzo;0.119
Matteo Politano;0.094
Juan Jesus;0.088
Stanislav Lobotka;0.079
Khvicha Kvaratskhelia;0.072
Hamed Junior Traore;0.065
Mario Rui;0.06
Alex Meret;0.054
Victor Osimhen;0.033
Jesper Lindstrom;0.032
Mathias Olivera;0.027
Giacomo Raspadori;0.021
