Jogador;Vetor_Estacionario
Mats Hummels;0.127
Emre Can;0.11
Marcel Sabitzer;0.098
Salih Ozcan;0.098
Ian Maatsen;0.096
Gregor Kobel;0.078
Jadon Sancho;0.075
Donyell Malen;0.072
Niclas Fullkrug;0.069
Julian Brandt;0.068
Niklas Sule;0.063
Felix Nmecha;0.038
Karim Adeyemi;0.005
Marco Reus;0.003
