Jogador;Vetor_Estacionario
Oumar Solet;0.143
Strahinja Pavlovic;0.123
Luka Sucic;0.117
Lucas Gourna-Douath;0.104
Andreas Ulmer;0.1
Amar Dedic;0.095
Oscar Gloukh;0.072
Alexander Schlager;0.061
Maurits Kjaergaard;0.059
Roko Simic;0.046
Mads Bidstrup;0.022
Nicolas Capaldo;0.016
Amankwah Forson;0.014
Dorgeles Nene;0.012
Karim Konate;0.008
Petar Ratkov;0.007
