Jogador;Vetor_Estacionario
David Hancko;0.129
Ramiz Zerrouki;0.126
Lutsharel Geertruida;0.114
Thomas Beelen;0.104
Justin Bijlow;0.102
Quilindschy Hartman;0.096
Mats Wieffer;0.061
Santiago Gimenez;0.051
Quinten Timber;0.042
Luka Ivanusec;0.04
Igor Paixao;0.034
Calvin Stengs;0.028
Yankuba Minteh;0.025
Van den Belt;0.021
Ayase Ueda;0.016
Javairo Dilrosun;0.01
