Jogador;Vetor_Estacionario
Achraf Hakimi;0.144
Warren Zaire-Emery;0.11
Lucas Hernandez;0.103
Marquinhos;0.102
Milan Skriniar;0.098
Ousmane Dembele;0.085
Kylian Mbappe;0.084
Manuel Ugarte;0.076
Goncalo Ramos;0.058
Vitinha Ferreira;0.05
Randal Kolo Muani;0.033
Bradley Barcola;0.03
Gianluigi Donnarumma;0.026
