Jogador;Vetor_Estacionario
Mateo Kovacic;0.15
Ruben Dias;0.146
Josko Gvardiol;0.123
Manuel Akanji;0.118
Julian Alvarez;0.072
Rico Lewis;0.068
Rodri;0.066
Sergio Gomez;0.065
Oscar Bobb;0.055
Matheus Nunes;0.044
Ederson;0.033
John Stones;0.033
Erling Haaland;0.013
Jacob Wright;0.007
Micah Hamilton;0.006
