Jogador;Vetor_Estacionario
Dayot Upamecano;0.188
Noussair Mazraoui;0.134
Kim Min-jae;0.127
Leroy Sane;0.108
Alphonso Davies;0.093
Joshua Kimmich;0.082
Kingsley Coman;0.077
Sven Ulreich;0.049
Konrad Laimer;0.048
Jamal Musiala;0.036
Harry Kane;0.019
Thomas Muller;0.016
Mathys Tel;0.014
Leon Goretzka;0.007
