Jogador;Vetor_Estacionario
Axel Witsel;0.15
Mario Hermoso;0.15
Koke;0.145
Cesar Azpilicueta;0.128
Nahuel Molina;0.089
Samuel Lino;0.068
Saul Niguez;0.06
Antoine Griezmann;0.054
Rodrigo de Paul;0.051
Alvaro Morata;0.032
Jan Oblak;0.022
Javi Galan;0.022
Marcos Llorente;0.015
Angel Correa;0.01
Rodrigo Riquelme;0.003
