Jogador;Vetor_Estacionario
Ulisses Garcia;0.172
Loris Benito;0.13
Cheikh Niasse;0.11
Meschack Elia;0.094
Mohamed Ali Camara;0.093
Filip Ugrinic;0.08
Joel Monteiro;0.071
Anthony Racioppi;0.069
Saidy Janko;0.064
Darian Males;0.056
Cedric Itten;0.052
Aurele Amenda;0.009
