Jogador;Vetor_Estacionario
Yann Bisseck;0.165
Stefan de Vrij;0.141
Francesco Acerbi;0.132
Kristjan Asllani;0.113
Matteo Darmian;0.079
Carlos Augusto;0.075
Davide Frattesi;0.069
Alexis Sanchez;0.041
Emil Audero;0.038
Davy Klaassen;0.035
Nicolo Barella;0.03
Juan Cuadrado;0.026
Federico Dimarco;0.02
Marko Arnautovic;0.016
Marcus Thuram;0.013
Lautaro Martinez;0.007
