Jogador;Vetor_Estacionario
Robin Knoche;0.115
Diogo Leite;0.093
Janik Haberer;0.093
Josip Juranovic;0.091
Rani Khedira;0.082
Paul Jaeckel;0.078
Kevin Behrens;0.074
Jerome Roussillon;0.063
Robin Gosens;0.063
Aissa Laidouni;0.06
Frederik Ronnow;0.048
Kevin Volland;0.039
Brenden Aaronson;0.037
Christopher Trimmel;0.024
Alex Kral;0.021
Sheraldo Becker;0.018
