Jogador;Vetor_Estacionario
Frenkie de Jong;0.159
Inigo Martinez;0.106
Ronald Araujo;0.102
Ilkay Gundogan;0.099
Pedri;0.092
Joao Cancelo;0.09
Jules Kounde;0.072
Andreas Christensen;0.065
Marc-Andre ter Stegen;0.064
Lamine Yamal;0.063
Robert Lewandowski;0.055
Oriol Romeu;0.014
Raphinha;0.011
Joao Felix;0.007
