Jogador;Vetor_Estacionario
Ronald Araujo;0.14
Joao Cancelo;0.138
Inigo Martinez;0.132
Ilkay Gundogan;0.114
Fermin Lopez;0.078
Lamine Yamal;0.076
Joao Felix;0.073
Marcos Alonso;0.067
Oriol Romeu;0.064
Ferran Torres;0.05
Marc-Andre ter Stegen;0.038
Alex Balde;0.016
Marc Casado;0.012
Andreas Christensen;0.002
