Jogador;Vetor_Estacionario
Ousmane Dembele;0.124
Vitinha Ferreira;0.123
Achraf Hakimi;0.113
Marquinhos;0.101
Nuno Mendes;0.099
Warren Zaire-Emery;0.093
Fabian Ruiz;0.078
Kylian Mbappe;0.078
Beraldo;0.061
Bradley Barcola;0.05
Lucas Hernandez;0.05
Randal Kolo Muani;0.017
Gianluigi Donnarumma;0.013
