Jogador;Vetor_Estacionario
Julian Brandt;0.148
Ian Maatsen;0.137
Emre Can;0.126
Nico Schlotterbeck;0.125
Niclas Fullkrug;0.103
Julian Ryerson;0.075
Jadon Sancho;0.065
Karim Adeyemi;0.061
Marcel Sabitzer;0.042
Gregor Kobel;0.041
Mats Hummels;0.041
Marco Reus;0.037
