Jogador;Vetor_Estacionario
Scott McKenna;0.163
Elias Jelert;0.119
Denis Vavro;0.107
Mohamed Elyounoussi;0.097
Kevin Diks;0.092
Peter Ankersen;0.082
Elias Achouri;0.061
Kamil Grabara;0.059
William Clem;0.052
Orri Oskarsson;0.034
Victor Froholdt;0.029
Oscar Hojlund;0.027
Roony Bardghji;0.026
Magnus Mattsson;0.025
Andreas Cornelius;0.014
Birger Meling;0.011
