Jogador;Vetor_Estacionario
Nico Schlotterbeck;0.162
Mats Hummels;0.127
Ian Maatsen;0.126
Julian Brandt;0.117
Julian Ryerson;0.108
Emre Can;0.105
Jadon Sancho;0.087
Marcel Sabitzer;0.039
Gregor Kobel;0.038
Niclas Fullkrug;0.038
Karim Adeyemi;0.037
Jamie Bynoe-Gittens;0.009
Marco Reus;0.006
Salih Ozcan;0.002
