Jogador;Vetor_Estacionario
Koke;0.166
Rodrigo de Paul;0.148
Antoine Griezmann;0.12
Samuel Lino;0.095
Mario Hermoso;0.078
Marcos Llorente;0.076
Nahuel Molina;0.069
Axel Witsel;0.052
Saul Niguez;0.038
Jose Gimenez;0.036
Pablo Barrios ;0.035
Alvaro Morata;0.021
Stefan Savic;0.021
Reinildo;0.019
Angel Correa;0.018
Jan Oblak;0.007
