Jogador;Vetor_Estacionario
Rodri;0.183
Josko Gvardiol;0.118
Ruben Dias;0.116
Kyle Walker;0.111
Manuel Akanji;0.111
Kevin De Bruyne;0.086
Bernardo Silva;0.076
Phil Foden;0.075
Jack Grealish;0.06
Ederson;0.027
Jeremy Doku;0.023
Erling Haaland;0.015
