Jogador;Vetor_Estacionario
Rafael Leao;0.152
Theo Hernandez;0.139
Malick Thiaw;0.107
Fikayo Tomori;0.105
Tijjani Reijnders;0.091
Davide Calabria;0.059
Yunus Musah;0.055
Olivier Giroud;0.049
Tommaso Pobega;0.048
Yacine Adli;0.046
Samuel Chukwueze;0.045
Christian Pulisic;0.043
Alessandro Florenzi;0.028
Mike Maignan;0.023
Noah Okafor;0.01
