Jogador;Vetor_Estacionario
Kaan Ayhan;0.147
Abdulkerim Bardakci;0.128
Lucas Torreira;0.116
Hakim Ziyech;0.101
Sacha Boey;0.096
Fernando Muslera;0.087
Angelino;0.068
Sergio Oliveira;0.057
Dries Mertens;0.05
Wilfried Zaha;0.046
Tanguy Ndombele;0.038
Kerem Akturkoglu;0.03
Mauro Icardi;0.016
Victor Nelsson;0.011
Baris Yilmaz;0.009
