Jogador;Vetor_Estacionario
Pepe_14926;0.136
David Carmo;0.103
Pepe_66499;0.094
Joao Mario;0.083
Diogo Costa;0.08
Galeno;0.078
Stephen Eustaquio;0.076
Alan Varela;0.066
Mehdi Taremi;0.061
Evanilson;0.058
Andre Franco;0.052
Wendell;0.034
Jorge Sanchez;0.026
Nico Gonzalez;0.02
Marko Grujic;0.018
Francisco Conceicao;0.016
