Jogador;Vetor_Estacionario
Mats Hummels;0.133
Julian Brandt;0.132
Salih Ozcan;0.108
Gregor Kobel;0.093
Niklas Sule;0.091
Karim Adeyemi;0.089
Niclas Fullkrug;0.085
Marco Reus;0.069
Marius Wolf;0.052
Ramy Bensebaini;0.05
Jamie Bynoe-Gittens;0.048
Donyell Malen;0.019
Giovanni Reyna;0.012
Marcel Sabitzer;0.011
Nico Schlotterbeck;0.005
Sebastien Haller;0.003
