Jogador;Vetor_Estacionario
Florian Sotoca;0.126
Salis Samed;0.124
David Costa;0.122
Facundo Medina;0.112
Jonathan Gradit;0.111
Przemyslaw Frankowski;0.08
Kevin Danso;0.073
Ruben Aguilar;0.068
Brice Samba;0.061
Elye Wahi;0.054
Neil El Aynaoui;0.038
Angelo Fulgini;0.021
Morgan Guilavogui;0.01
