Jogador;Vetor_Estacionario
Ruben Dias;0.153
Matheus Nunes;0.119
Kyle Walker;0.103
Rico Lewis;0.103
Phil Foden;0.084
Josko Gvardiol;0.082
John Stones;0.069
Mateo Kovacic;0.067
Jack Grealish;0.065
Nathan Ake;0.042
Ederson;0.039
Kalvin Phillips;0.032
Jeremy Doku;0.02
Erling Haaland;0.013
Oscar Bobb;0.01
