Jogador;Vetor_Estacionario
Kevin Kampl;0.121
Benjamin Henrichs;0.117
Castello Lukeba;0.114
Fabio Carvalho;0.095
Mohamed Simakan;0.087
Christopher Lenz;0.086
Nicolas Seiwald;0.075
Emil Forsberg;0.06
Peter Gulacsi;0.06
Yussuf Poulsen;0.055
Benjamin Sesko;0.053
Lukas Klostermann;0.042
Xavi Simons;0.014
Timo Werner;0.013
Xaver Schlager;0.009
