Jogador;Vetor_Estacionario
Joao Moutinho;0.176
Jose Fonte;0.134
Rodrigo Zalazar;0.124
Victor Gomez;0.113
Alvaro Djalo;0.075
Cristian Borja ;0.075
Serdar Saatci;0.063
Ricardo Horta;0.055
Sikou Niakate;0.053
Matheus;0.047
Simon Banza;0.026
Vitor Carvalho;0.022
Andre Horta;0.02
Abel Ruiz;0.009
Joe Mendes;0.005
Roger Fernandes;0.004
