Jogador;Vetor_Estacionario
Toni Kroos;0.159
Antonio Rudiger;0.127
Eduardo Camavinga;0.114
Federico Valverde;0.102
Ferland Mendy;0.098
Nacho Fernandez;0.094
Dani Carvajal;0.087
Jude Bellingham;0.078
Vinicius Junior;0.071
Rodrygo;0.031
Thibaut Courtois;0.027
Luka Modric;0.009
Joselu;0.003
