Jogador;Vetor_Estacionario
Patric Gil;0.153
Alessio Romagnoli;0.113
Luis Alberto;0.101
Manuel Lazzari;0.096
Matias Vecino;0.094
Daichi Kamada;0.09
Elseid Hysaj;0.08
Felipe Anderson;0.064
Mattia Zaccagni;0.056
Ivan Provedel;0.052
Ciro Immobile;0.051
Adam Marusic;0.014
Gustav Isaksen;0.011
Matteo Guendouzi;0.01
Pedro Rodriguez;0.008
Taty Castellanos;0.007
