Jogador;Vetor_Estacionario
Eric Dier;0.167
Joshua Kimmich;0.129
Matthijs De Ligt;0.115
Jamal Musiala;0.096
Noussair Mazraoui;0.08
Manuel Neuer;0.074
Raphael Guerreiro;0.074
Konrad Laimer;0.072
Leon Goretzka;0.072
Leroy Sane;0.06
Kim Min-jae;0.033
Harry Kane;0.029
