Jogador;Vetor_Estacionario
Koke;0.126
Mario Hermoso;0.125
Rodrigo de Paul;0.096
Marcos Llorente;0.095
Antoine Griezmann;0.093
Axel Witsel;0.091
Pablo Barrios ;0.078
Rodrigo Riquelme;0.062
Nahuel Molina;0.061
Jose Gimenez;0.055
Alvaro Morata;0.038
Angel Correa;0.032
Jan Oblak;0.023
Cesar Azpilicueta;0.02
Saul Niguez;0.005
