Jogador;Vetor_Estacionario
William Saliba;0.119
Bukayo Saka;0.112
Martin Odegaard;0.112
Ben White;0.11
Gabriel Magalhaes;0.11
Jorginho;0.108
Declan Rice;0.092
Leandro Trossard;0.078
Jakub Kiwior;0.064
Kai Havertz;0.041
David Raya;0.037
Gabriel Jesus;0.017
