Jogador;Vetor_Estacionario
Alan Varela;0.17
Pepe_14926;0.157
David Carmo;0.112
Joao Mario;0.098
Stephen Eustaquio;0.087
Pepe_66499;0.068
Zaidu Sanusi;0.067
Evanilson;0.05
Andre Franco;0.048
Mehdi Taremi;0.037
Diogo Costa;0.036
Francisco Conceicao;0.036
Jorge Sanchez;0.022
Danny Namaso;0.011
Fran Navarro;0.002
