Jogador;Vetor_Estacionario
Vitinha Ferreira;0.143
Achraf Hakimi;0.131
Ousmane Dembele;0.091
Beraldo;0.09
Lucas Hernandez;0.088
Nuno Mendes;0.085
Fabian Ruiz;0.084
Kylian Mbappe;0.077
Warren Zaire-Emery;0.075
Kang-In Lee;0.061
Gianluigi Donnarumma;0.035
Nordi Mukiele;0.017
Bradley Barcola;0.013
Manuel Ugarte;0.005
Carlos Soler;0.003
Randal Kolo Muani;0.003
