Jogador;Vetor_Estacionario
Joshua Kimmich;0.154
Dayot Upamecano;0.12
Kim Min-jae;0.118
Raphael Guerreiro;0.104
Noussair Mazraoui;0.103
Jamal Musiala;0.09
Leon Goretzka;0.074
Thomas Muller;0.064
Leroy Sane;0.056
Matthijs De Ligt;0.037
Manuel Neuer;0.034
Harry Kane;0.033
Mathys Tel;0.009
Eric Choupo-Moting;0.003
