Jogador;Vetor_Estacionario
Toby Alderweireld;0.137
Jelle Bataille;0.115
Soumaila Coulibaly;0.112
Arthur Vermeeren;0.097
Jean Butez;0.097
Mandela Keita;0.08
Owen Wijndal;0.068
Ritchie De Laet;0.056
Jurgen Ekkelenkamp;0.053
Alhassan Yusuf;0.045
Arbnor Muja;0.038
Vincent Janssen;0.033
Michel-Ange Balikwisha;0.026
George Ilenikhena;0.022
Gyrano Kerk;0.015
Anthony Valencia;0.006
