Jogador;Vetor_Estacionario
Leon Goretzka;0.172
Dayot Upamecano;0.155
Joshua Kimmich;0.138
Konrad Laimer;0.102
Alphonso Davies;0.096
Raphael Guerreiro;0.069
Kingsley Coman;0.052
Mathys Tel;0.05
Aleksandar Pavlovic;0.045
Thomas Muller;0.04
Harry Kane;0.022
Manuel Neuer;0.018
Serge Gnabry;0.018
Leroy Sane;0.015
Frans Kratzig;0.008
