Jogador;Vetor_Estacionario
Sean Longstaff;0.165
Bruno Guimaraes;0.142
Kieran Trippier;0.111
Anthony Gordon;0.101
Fabian Schar;0.093
Alexander Isak;0.092
Miguel Almiron;0.075
Sandro Tonali;0.074
Dan Burn;0.068
Elliot Anderson;0.03
Jacob Murphy;0.018
Jamaal Lascelles;0.018
Nick Pope;0.014
