Jogador;Vetor_Estacionario
Mario Gila;0.129
Matias Vecino;0.118
Nicolo Casale;0.104
Matteo Guendouzi;0.092
Elseid Hysaj;0.083
Mattia Zaccagni;0.07
Luis Alberto;0.06
Manuel Lazzari;0.056
Daichi Kamada;0.049
Adam Marusic;0.047
Felipe Anderson;0.045
Ivan Provedel;0.043
Luca Pellegrini;0.038
Pedro Rodriguez;0.032
Ciro Immobile;0.019
Taty Castellanos;0.017
