Jogador;Vetor_Estacionario
Lucas Vazquez;0.104
Eduardo Camavinga;0.103
Luka Modric;0.099
David Alaba;0.095
Jude Bellingham;0.095
Aurelien Tchouameni;0.094
Nacho Fernandez;0.088
Antonio Rudiger;0.082
Rodrygo;0.071
Toni Kroos;0.046
Federico Valverde;0.037
Joselu;0.031
Kepa Arrizabalaga;0.027
Brahim Diaz;0.015
Fran Garcia;0.014
