Jogador;Vetor_Estacionario
Martin Zubimendi;0.125
Takefusa Kubo;0.111
Mikel Merino;0.095
Andre Silva;0.088
Robin Le Normand;0.088
Brais Mendez;0.083
Ander Barrene;0.075
Alex Remiro;0.073
Hamari Traore;0.067
Javi Galan;0.057
Igor Zubeldia;0.048
Benat Turrientes;0.024
Umar Sadiq;0.022
Arsen Zakharyan;0.019
Jon Pacheco;0.013
Jon Aramburu;0.011
