Jogador;Vetor_Estacionario
Vitinha Ferreira;0.152
Marquinhos;0.119
Ousmane Dembele;0.106
Lucas Hernandez;0.092
Fabian Ruiz;0.087
Beraldo;0.085
Kang-In Lee;0.074
Kylian Mbappe;0.07
Nuno Mendes;0.069
Bradley Barcola;0.057
Warren Zaire-Emery;0.041
Gianluigi Donnarumma;0.027
Marco Asensio;0.018
Goncalo Ramos;0.004
