Jogador;Vetor_Estacionario
Milan Skriniar;0.132
Achraf Hakimi;0.112
Kylian Mbappe;0.111
Marquinhos;0.11
Ousmane Dembele;0.1
Warren Zaire-Emery;0.076
Vitinha Ferreira;0.075
Lucas Hernandez;0.064
Kang-In Lee;0.051
Nordi Mukiele;0.046
Fabian Ruiz;0.035
Goncalo Ramos;0.022
Bradley Barcola;0.02
Manuel Ugarte;0.018
Randal Kolo Muani;0.015
Gianluigi Donnarumma;0.013
