Jogador;Vetor_Estacionario
Rasmus Falk;0.138
Peter Ankersen;0.119
Denis Vavro;0.112
Birger Meling;0.095
Kevin Diks;0.093
Viktor Claesson;0.084
Diogo Goncalves;0.074
Kamil Grabara;0.07
Elias Achouri;0.055
Lukas Lerager;0.051
Mohamed Elyounoussi;0.042
Valdemar Lund;0.03
Roony Bardghji;0.028
Orri Oskarsson;0.006
Jordan Larsson;0.003
