Jogador;Vetor_Estacionario
Nico Schlotterbeck;0.174
Emre Can;0.131
Mats Hummels;0.114
Julian Brandt;0.098
Julian Ryerson;0.094
Jadon Sancho;0.076
Marcel Sabitzer;0.072
Ian Maatsen;0.066
Gregor Kobel;0.063
Niclas Fullkrug;0.045
Karim Adeyemi;0.024
Donyell Malen;0.013
Jamie Bynoe-Gittens;0.01
Marco Reus;0.01
Sebastien Haller;0.01
