Jogador;Vetor_Estacionario
Artem Bondarenko;0.154
Valeriy Bondar;0.128
Taras Stepanenko;0.11
Yaroslav Rakitskyi;0.089
Giorgi Gocholeishvili;0.087
Georgiy Sudakov;0.082
Mykola Matvienko;0.076
Oleksandr Zubkov;0.073
Dmytro Riznyk;0.063
Dmytro Kryskiv;0.057
Newerton;0.04
Danylo Sikan;0.035
Kevin Kelsy ;0.008
