Jogador;Vetor_Estacionario
Otavio;0.16
Diogo Costa;0.158
Pepe_14926;0.119
Pepe_66499;0.106
Joao Mario;0.104
Francisco Conceicao;0.086
Alan Varela;0.078
Evanilson;0.074
Wendell;0.053
Nico Gonzalez;0.047
Galeno;0.015
