Jogador;Vetor_Estacionario
Nemanja Gudelj;0.217
Loic Bade;0.167
Fernando;0.117
Marko Dmitrovic;0.101
Kike Salas;0.081
Juanlu Sanchez ;0.07
Ivan Rakitic;0.063
Joan Jordan;0.049
Erik Lamela;0.046
Djibril Sow;0.035
Adria Pedrosa;0.021
Lucas Ocampos;0.016
Tanguy Nianzou;0.009
Mariano Diaz;0.008
