Jogador;Vetor_Estacionario
Pau Cubarsi;0.129
Joao Cancelo;0.118
Jules Kounde;0.099
Marc-Andre ter Stegen;0.093
Robert Lewandowski;0.087
Frenkie de Jong;0.07
Lamine Yamal;0.063
Ronald Araujo;0.062
Sergi Roberto;0.058
Raphinha;0.057
Ilkay Gundogan;0.056
Joao Felix;0.049
Pedri;0.038
Ferran Torres;0.015
Andreas Christensen;0.003
Fermin Lopez;0.003
