Jogador;Vetor_Estacionario
In-beom Hwang;0.172
Mirko Ivanic;0.117
Cherif Ndiaye;0.098
Stefan Mitrovic;0.093
Aleksandar Dragovic;0.08
Srdjan Mijailovic;0.068
Marko Stamenic;0.063
Nasser Djiga;0.06
Milan Rodic;0.058
Osman Bukari;0.056
Vladimir Lucic;0.046
Peter Olayinka;0.041
Kosta Nedeljkovic;0.018
Jovan Mijatovic;0.017
Omri Glazer;0.015
