Jogador;Vetor_Estacionario
Eric Dier;0.148
Aleksandar Pavlovic;0.134
Konrad Laimer;0.128
Joshua Kimmich;0.127
Noussair Mazraoui;0.116
Matthijs De Ligt;0.076
Jamal Musiala;0.073
Leroy Sane;0.058
Alphonso Davies;0.052
Manuel Neuer;0.042
Harry Kane;0.021
Serge Gnabry;0.013
Eric Choupo-Moting;0.008
Kim Min-jae;0.003
Thomas Muller;0.003
