Jogador;Vetor_Estacionario
Stanislav Lobotka;0.127
Natan;0.122
Mathias Olivera;0.117
Giovanni Di Lorenzo;0.104
Piotr Zielinski;0.1
Khvicha Kvaratskhelia;0.09
Leo Ostigard;0.089
Zambo Anguissa;0.086
Matteo Politano;0.052
Victor Osimhen;0.029
Alex Meret;0.027
Eljif Elmas;0.027
Giacomo Raspadori;0.014
Jens Cajuste;0.008
Mario Rui;0.005
Giovanni Simeone;0.002
