Jogador;Vetor_Estacionario
Eduardo Camavinga;0.14
Toni Kroos;0.138
Ferland Mendy;0.116
Federico Valverde;0.1
Vinicius Junior;0.095
Dani Carvajal;0.088
Brahim Diaz;0.081
Rodrygo;0.075
Aurelien Tchouameni;0.067
Nacho Fernandez;0.059
Andriy Lunin;0.026
Joselu;0.008
Lucas Vazquez;0.008
