Jogador;Vetor_Estacionario
Matteo Guendouzi;0.108
Adam Marusic;0.107
Luis Alberto;0.106
Mario Gila;0.093
Luca Pellegrini;0.091
Alessio Romagnoli;0.088
Felipe Anderson;0.083
Mattia Zaccagni;0.066
Matias Vecino;0.054
Ivan Provedel;0.048
Ciro Immobile;0.044
Danilo Cataldi;0.036
Gustav Isaksen;0.034
Daichi Kamada;0.016
Taty Castellanos;0.014
Pedro Rodriguez;0.013
