Jogador;Vetor_Estacionario
Alistair Johnston;0.159
Liam Scales;0.131
Cameron Carter-Vickers;0.122
Greg Taylor;0.116
Matt O'Riley;0.093
Callum McGregor;0.085
Daizen Maeda;0.067
Paulo Bernardo;0.049
Nathaniel Phillips;0.047
Luis Palma;0.046
Joe Hart;0.032
Kyogo Furuhashi;0.031
James Forrest;0.022
