Jogador;Vetor_Estacionario
Martin Zubimendi;0.133
Igor Zubeldia;0.128
Aihen Munoz;0.109
Robin Le Normand;0.108
Mikel Merino;0.089
Brais Mendez;0.083
Hamari Traore;0.081
Ander Barrene;0.076
Takefusa Kubo;0.062
Alex Remiro;0.046
Mikel Oyarzabal;0.044
Aritz Elustondo;0.021
Arsen Zakharyan;0.013
Carlos Fernandez;0.006
