Jogador;Vetor_Estacionario
Joey Veerman;0.141
Jerdy Schouten;0.137
Sergino Dest;0.12
Olivier Boscagli;0.112
Jordan Teze;0.09
Johan Bakayoko;0.083
Hirving Lozano;0.079
Malik Tillman;0.079
Ismael Saibari;0.061
Walter Benitez;0.044
Luuk de Jong;0.025
Ricardo Pepi;0.016
Armando Obispo;0.008
Mauro Junior ;0.005
