Jogador;Vetor_Estacionario
Joao Neves;0.122
Juan Bernat;0.109
Morato;0.107
Nicolas Otamendi;0.096
David Neres;0.081
Orkun Kokcu;0.077
Fredrik Aursnes;0.072
Rafa Silva;0.065
Tomas Araujo ;0.065
Angel Di Maria;0.064
Chiquinho;0.041
Alexander Bah;0.034
Anatoliy Trubin;0.027
David Jurasek;0.021
Arthur Cabral;0.017
Petar Musa;0.005
