Jogador;Vetor_Estacionario
Joey Veerman;0.131
Olivier Boscagli;0.127
Jerdy Schouten;0.107
Sergino Dest;0.1
Jordan Teze;0.097
Andre Ramalho;0.085
Yorbe Vertessen;0.071
Johan Bakayoko;0.067
Walter Benitez;0.044
Guus Til;0.036
Hirving Lozano;0.031
Ismael Saibari;0.03
Malik Tillman;0.03
Luuk de Jong;0.027
Patrick van Aanholt;0.017
