Jogador;Vetor_Estacionario
Hakan Calhanoglu;0.158
Benjamin Pavard;0.149
Nicolo Barella;0.129
Stefan de Vrij;0.111
Alessandro Bastoni;0.078
Henrikh Mkhitaryan;0.067
Matteo Darmian;0.064
Yann Sommer;0.061
Lautaro Martinez;0.05
Federico Dimarco;0.049
Denzel Dumfries;0.02
Marko Arnautovic;0.018
Davide Frattesi;0.017
Marcus Thuram;0.014
Carlos Augusto;0.013
Alexis Sanchez;0.002
