Jogador;Vetor_Estacionario
Bruno Fernandes;0.146
Antony;0.134
Aaron Wan-Bissaka;0.097
Scott McTominay;0.097
Luke Shaw;0.093
Harry Maguire;0.08
Anthony Martial;0.058
Andre Onana;0.054
Sofyan Amrabat;0.053
Victor Lindelof;0.053
Alejandro Garnacho;0.029
Diogo Dalot;0.028
Kobbie Mainoo;0.028
Rasmus Hojlund;0.026
Facundo Pellistri;0.025
