;Beraldo;Bradley Barcola;Fabian Ruiz;Gianluigi Donnarumma;Goncalo Ramos;Kang-In Lee;Kylian Mbappe;Lucas Hernandez;Marco Asensio;Marquinhos;Nuno Mendes;Ousmane Dembele;Vitinha Ferreira;Warren Zaire-Emery
Beraldo;0.0850717316871084;0.0567743627294326;0.0867920894901889;0.0267652236926774;0.00427298550956368;0.0736496276185067;0.0696140488158497;0.0918830856414997;0.0175451055361688;0.119013403070794;0.0688132522802062;0.106080342178509;0.152318743830287;0.0414059979192087
Bradley Barcola;0.0850716532442196;0.0567763978516273;0.0867910744984082;0.0267653949839079;0.00427331836261509;0.0736484544229403;0.0696124598258496;0.091884202923804;0.0175448928651186;0.119013216066768;0.0688116742978904;0.106080899879468;0.152320749299205;0.0414056114781784
Fabian Ruiz;0.0850701326943894;0.0567736977975152;0.0867926813531952;0.0267646243892734;0.00427291271781829;0.0736510626680471;0.0696125451983625;0.091883308084677;0.0175451582001306;0.119015734693347;0.0688149394874731;0.106078645296236;0.152317210413087;0.0414073470064491
Gianluigi Donnarumma;0.0850698073855443;0.0567737002227401;0.0867926428753805;0.0267645352317562;0.00427293705710711;0.0736511627762058;0.0696122437011873;0.0918833469604794;0.0175451233761497;0.119015960396159;0.0688153924674975;0.106078459466053;0.152317361450363;0.0414073266333768
Goncalo Ramos;0.0850715134753428;0.0567739105779465;0.0867924431248337;0.0267650854254819;0.00427289366681128;0.0736501871803451;0.0696139731483908;0.0918830644127168;0.0175452024932397;0.119014186538258;0.0688134237516817;0.106079772480959;0.152317675390433;0.0414066683335596
Kang-In Lee;0.0850693663330549;0.0567729786091617;0.0867931911856293;0.0267642889294082;0.00427280293003268;0.0736520512273872;0.0696120911344178;0.0918832349225142;0.0175452470363355;0.119017073327972;0.068815943798277;0.106077622649004;0.152315879107618;0.0414082288091875
Kylian Mbappe;0.0850716936694965;0.0567737745629478;0.0867924158856439;0.0267651403373575;0.00427287780547421;0.0736500898154016;0.0696144180444355;0.0918828135124744;0.0175451966119388;0.119013753414867;0.0688136029314459;0.106080010927031;0.152317878335535;0.0414063341459506
Lucas Hernandez;0.0850693915942699;0.0567731162357968;0.0867931893293518;0.0267642940833109;0.00427279089278908;0.0736521170957148;0.0696118020942353;0.0918834750557525;0.0175453046488565;0.119017743517375;0.0688153753030543;0.106077346758465;0.152315307774792;0.0414087456162368
Marco Asensio;0.0850687145632008;0.056772973705984;0.0867931229664037;0.0267641115290107;0.00427286423990313;0.073652170040005;0.0696116082370895;0.091883191053007;0.0175451320722471;0.119017045433946;0.0688170580369482;0.106077518172414;0.152316589324809;0.0414079006250316
Marquinhos;0.0850700509424437;0.0567737415757154;0.086792645002614;0.0267646048884342;0.00427292895090412;0.0736510645446348;0.0696124639994832;0.0918833262471329;0.0175451430159966;0.119015732388762;0.0688150640344765;0.106078618531142;0.152317332787472;0.0414072830907871
Nuno Mendes;0.0850684774853716;0.0567722985241392;0.0867934334960461;0.0267639840006202;0.00427278790105834;0.0736526143623805;0.0696119399076163;0.0918828422713745;0.0175451552811051;0.119017030479131;0.068818087182969;0.106077248069484;0.152316265025604;0.0414078360130993
Ousmane Dembele;0.0850696405489867;0.0567734512017097;0.0867927821234898;0.0267644550818011;0.0042729042947166;0.0736513844830546;0.0696123071060023;0.091883208649102;0.0175451314006307;0.119016032749543;0.0688157706058992;0.106078346188217;0.152317191555448;0.0414073940113987
Vitinha Ferreira;0.085071484877029;0.0567747174397743;0.0867919617226948;0.0267651700864804;0.00427304496881519;0.073649607894372;0.0696134784184914;0.0918833858712362;0.0175450777648619;0.119013761754475;0.0688130843415676;0.106080173850013;0.152318878898046;0.0414061721121423
Warren Zaire-Emery;0.0850682687063914;0.0567729242424316;0.0867935258050923;0.0267638842417747;0.00427275862441692;0.0736530756265085;0.0696104096842194;0.0918838564629655;0.0175453583370526;0.119019795249431;0.0688160552503858;0.106076056921116;0.152314028022485;0.0414100028257293
