;Adam Marusic;Alessio Romagnoli;Ciro Immobile;Daichi Kamada;Danilo Cataldi;Elseid Hysaj;Felipe Anderson;Gustav Isaksen;Ivan Provedel;Luis Alberto;Manuel Lazzari;Mario Gila;Matteo Guendouzi;Patric Gil;Pedro Rodriguez;Taty Castellanos
Adam Marusic;0.0779384609653009;0.115477734821408;0.053302916573055;0.0148260436708285;0.0909160347883812;0.0402856743075312;0.111570111775179;0.0473260661551193;0.0377757085950065;0.111035393981509;0.0327849883716752;0.111443070684829;0.0949332733126635;0.0431722756042016;0.0119202235644072;0.00529202282890381
Alessio Romagnoli;0.07793860598209;0.115481125408309;0.0533032418198489;0.0148259414935688;0.0909152875445147;0.0402848224980103;0.111572154362216;0.0473256623983805;0.0377749890607776;0.111033363646185;0.0327846540715557;0.111441939514126;0.0949350616167306;0.0431709397120738;0.0119203259711057;0.0052918849005072
Ciro Immobile;0.0779385921229833;0.115476808735713;0.0533028365196163;0.0148259125644283;0.0909167383130556;0.0402860612242976;0.111568979244622;0.0473256489635179;0.0377762413460671;0.111036241187534;0.0327853026406881;0.111442421091674;0.0949336197582336;0.0431724006452062;0.011920219355384;0.00529197628697888
Daichi Kamada;0.0779383343563031;0.115478670155444;0.0533029716684138;0.0148261641351303;0.0909153768828701;0.0402853094011768;0.11157116199791;0.0473264441478817;0.0377752192958708;0.111034552024422;0.0327846939713587;0.111443719290362;0.0949329253753932;0.0431721674098553;0.011920225893355;0.00529206399425282
Danilo Cataldi;0.0779384099247997;0.115478280169336;0.0533029342620341;0.0148260902748434;0.0909157390330251;0.0402854930051363;0.111570603600418;0.0473262019889181;0.0377754911696803;0.11103493711095;0.0327848527379061;0.111443334845655;0.0949331738399841;0.0431721970479048;0.0119202271871613;0.00529203380224734
Elseid Hysaj;0.0779382673703588;0.115477030016382;0.053302772169797;0.0148262029446586;0.0909158053695924;0.0402857552625796;0.111570042852537;0.0473265901191463;0.0377756359067425;0.111035532425964;0.0327848795388048;0.111444286099439;0.0949320485920363;0.0431728531944936;0.011920173864317;0.00529212427315046
Felipe Anderson;0.0779384184623243;0.115481149367959;0.0533031946724148;0.0148260948764926;0.0909148062816358;0.0402846952190714;0.111572673567711;0.0473261683229312;0.0377746932284654;0.11103305845319;0.0327844427406982;0.111442977528814;0.094934140158842;0.0431712292500299;0.0119202918974772;0.00529196597194189
Gustav Isaksen;0.0779381911842569;0.115480105256843;0.0533030670029025;0.0148262828282733;0.0909145452015469;0.040284818967174;0.111572597422843;0.0473268130063686;0.0377745985164726;0.111033389614671;0.0327843271406532;0.111444330065001;0.0949327018685063;0.0431719099579215;0.0119202303395258;0.00529209162703928
Ivan Provedel;0.077938552695901;0.115477608568614;0.0533029226461397;0.0148259753001124;0.0909163038853456;0.0402857611839481;0.111569765647749;0.0473258356268431;0.0377758808065065;0.111035595132895;0.0327851006066422;0.111442614087341;0.0949336703395209;0.0431721837459294;0.01192024070713;0.00529198901938314
Luis Alberto;0.0779383283897769;0.115477466435312;0.0533028403881087;0.0148261540371868;0.090915801768513;0.0402856670630635;0.111570232618358;0.0473264276324716;0.037775592891033;0.111035347788461;0.0327848806936509;0.111443877006422;0.0949325050487844;0.0431725961404228;0.0119201941910048;0.00529208790743022
Manuel Lazzari;0.0779387125053161;0.115478967268462;0.0533030685752633;0.0148258294363381;0.0909163090834742;0.0402855218801335;0.111570254925521;0.0473253350086426;0.0377757999682827;0.111034987350942;0.0327851097265928;0.111441531161073;0.0949349143431406;0.0431714879524626;0.0119202921928114;0.00529187862154392
Mario Gila;0.0779382196561894;0.115478675822477;0.0533029356489168;0.01482626533951;0.0909150788990915;0.040285226387345;0.111571468640872;0.0473267719072288;0.0377750348856506;0.111034349150745;0.0327845581116173;0.111444393526753;0.0949323390589937;0.0431723587226634;0.0119202069591315;0.00529211728281403
Matteo Guendouzi;0.0779385873460155;0.115479118895641;0.0533030645446063;0.0148259387769695;0.0909159152275932;0.0402853827428473;0.111570749736087;0.0473256966162085;0.0377755353710494;0.111034688180589;0.0327849371836694;0.111442209404418;0.0949343460721289;0.0431716222915537;0.0119202743925382;0.00529193321808531
Patric Gil;0.077938169204308;0.115475760159509;0.0533026420748221;0.0148262901577519;0.0909159474925479;0.0402860253997491;0.111569423117318;0.0473268987770069;0.0377758094716457;0.111036195723012;0.032784939137141;0.11144500116175;0.0949311379121835;0.0431734265789061;0.0119201318047675;0.00529220182758212
Pedro Rodriguez;0.0779384251543706;0.115479410463521;0.0533030660899632;0.01482608950862;0.0909153623251168;0.0402851630100943;0.111571467881848;0.0473261882414233;0.0377751521344672;0.111034210969842;0.0327846879989555;0.111443114315446;0.0949336274513421;0.0431717708902664;0.011920257474177;0.00529200609054591
Taty Castellanos;0.0779382308873548;0.115473258079167;0.0533024123597502;0.0148262199737525;0.0909169726056574;0.0402867894979075;0.111567365327946;0.0473267065030525;0.0377766521135199;0.111037954329722;0.0327853912125937;0.111444926956809;0.0949306304366324;0.0431741795541659;0.0119200843629548;0.00529222579901477
