;Anthony Racioppi;Cedric Itten;Cheikh Niasse;Darian Males;Filip Ugrinic;Jean-Pierre Nsame;Joel Monteiro;Lewin Blum;Loris Benito;Meschack Elia;Mohamed Ali Camara;Noah Persson;Saidy Janko;Sandro Lauper;Silvere Ganvoula;Ulisses Garcia
Anthony Racioppi;0.0865850413692404;0.029473691368918;0.110623113145976;0.0324366525036904;0.0616644314131447;0.0232562145824349;0.0402280852696072;0.0719779572434408;0.141266019395188;0.0489442691565152;0.138960673501768;0.0261506319991973;0.0264958047354746;0.0886750049501443;0.0153447544576856;0.0579176549075737
Cedric Itten;0.0865856415096845;0.0294737010359631;0.11062297954137;0.0324365545467892;0.0616644632717538;0.0232561538550675;0.0402279861470001;0.0719783300133435;0.141266116869894;0.0489441426708284;0.138960329833285;0.0261504193679005;0.0264957224476283;0.0886749355260503;0.0153448329215426;0.057917690441898
Cheikh Niasse;0.0865850153058388;0.0294736651101071;0.110622674530462;0.0324370115128654;0.061664000850072;0.02325612795736;0.0402284563021296;0.0719773162269199;0.141263885876814;0.0489442864000662;0.138962563399877;0.0261506697738066;0.0264964356626646;0.0886753727316901;0.0153445528448239;0.0579179655145026
Darian Males;0.0865843305565922;0.0294735874842043;0.11062308153352;0.0324374938840958;0.0616640780441983;0.0232563117018563;0.0402284169702788;0.0719771570945695;0.14126408814768;0.0489446541935759;0.138961696592223;0.0261512070534094;0.0264962934831578;0.0886750262246673;0.0153445687273733;0.0579180083085978
Filip Ugrinic;0.086585133042499;0.0294736496252891;0.110622960074813;0.0324370752489672;0.0616642201698873;0.0232562154265159;0.0402282066123578;0.0719777682431603;0.141264843820479;0.0489443987963734;0.138961133037346;0.0261507558000439;0.0264960701889707;0.0886749977652975;0.0153446929877881;0.0579178791602121
Jean-Pierre Nsame;0.0865851536004684;0.0294736312092148;0.110623143730146;0.0324372414889932;0.0616643578572147;0.0232562791117095;0.040228053898375;0.0719780096675999;0.141265292181949;0.0489445147904115;0.138960194509826;0.0261508748508765;0.0264958666112103;0.0886747389003915;0.0153447754046273;0.0579178721869874
Joel Monteiro;0.086585599835774;0.0294736559920294;0.110622315930872;0.0324372065582599;0.0616637754869687;0.023256033039734;0.0402285561078156;0.071977332113921;0.141262684428264;0.0489442210529641;0.138963218606302;0.0261505063959212;0.0264967187126637;0.0886754714738344;0.0153445172872308;0.0579181869774457
Lewin Blum;0.0865847786254987;0.0294737341541379;0.11062317633944;0.0324362151819617;0.0616645537103155;0.0232561885861297;0.0402280883809483;0.0719778883417948;0.141266808933465;0.0489441099079856;0.138960849793824;0.0261505242529648;0.0264956959268454;0.0886751758927983;0.0153447465590666;0.057917465412824
Loris Benito;0.0865849276038741;0.0294736340948121;0.110622700037466;0.0324372420146877;0.0616639507941434;0.0232561629815843;0.0402284860363616;0.0719772356254149;0.141263550994223;0.0489443953143705;0.138962518819385;0.0261508170762212;0.0264964882820843;0.0886752959255589;0.0153445401053076;0.0579180542945056
Meschack Elia;0.0865847840894289;0.0294736727550642;0.110623489267515;0.0324367343667046;0.0616646752274331;0.0232563312422324;0.0402278806967113;0.0719782058823052;0.141267068404828;0.0489444285277853;0.13895936608417;0.0261508420860006;0.0264954497983947;0.0886746736932317;0.0153448595394995;0.0579175383386944
Mohamed Ali Camara;0.0865856820410965;0.0294736393707466;0.110622689274159;0.0324372277082108;0.0616640691269928;0.0232561429282788;0.0402282486116418;0.0719778746871904;0.141264003676948;0.0489443433087083;0.138961448361398;0.0261506172517694;0.0264962438568182;0.0886750230313726;0.015344690583786;0.0579180561808824
Noah Persson;0.0865851734173565;0.0294735093067689;0.110622856992357;0.0324382872694615;0.0616638225892093;0.0232563322243505;0.0402283747144848;0.0719774663439213;0.141262497241774;0.048944901499125;0.138961286229853;0.0261512962940289;0.0264965011539289;0.0886746773545567;0.0153446122443008;0.0579184051245235
Saidy Janko;0.0865852757609731;0.0294736584727779;0.110623043065002;0.0324369339851211;0.0616643508138453;0.0232562206118614;0.0402280869188391;0.07197802571501;0.141265473552968;0.0489443498619192;0.138960550147875;0.0261506947147036;0.0264958748519621;0.0886748900501151;0.015344767151021;0.0579178043260066
Sandro Lauper;0.0865855514657649;0.0294736281432724;0.110622416572301;0.0324373602520375;0.0616637915698575;0.0232560838928228;0.0402285196424844;0.071977384736938;0.141262728631277;0.0489443240907701;0.138962835837447;0.0261506362887319;0.0264966560925052;0.0886753216093378;0.0153445433040598;0.0579182178703925
Silvere Ganvoula;0.0865845577051639;0.0294735629062768;0.110622229097819;0.0324379482478432;0.0616633214482628;0.0232561182791378;0.0402290383315404;0.0719761814179593;0.14126046346542;0.0489445811651811;0.138965055704191;0.0261511000541473;0.026497379153788;0.088675713534081;0.0153442356204789;0.0579185138687097
Ulisses Garcia;0.0865853707867923;0.0294736673872325;0.11062287079516;0.0324369005151096;0.0616642367033292;0.0232561657642362;0.0402281884322614;0.0719778904364284;0.141264974087568;0.0489442770831401;0.138961185188735;0.0261506029403986;0.0264960454269274;0.0886750520533012;0.0153447144092353;0.0579178579901441
